dateTime,temperature,pressure,humidity,altitude
2020-03-09 00:20:19.305211,24.17,100078.00,52.00,104.32
2020-03-09 00:20:24.347034,24.17,100072.00,52.00,104.83
2020-03-09 00:20:29.370921,24.16,100071.00,52.00,104.91
2020-03-09 00:20:34.414793,24.17,100073.00,52.00,104.75
2020-03-09 00:20:39.436456,24.18,100074.00,52.00,104.66
2020-03-09 00:20:44.461389,24.17,100072.00,52.00,104.83
2020-03-09 00:20:49.501949,24.17,100075.00,52.00,104.58
2020-03-09 00:20:54.526890,24.17,100075.00,52.00,104.58
2020-03-09 00:20:59.567605,24.16,100073.00,52.00,104.75
2020-03-09 00:21:04.592804,24.16,100074.00,52.00,104.66
2020-03-09 00:21:09.633293,24.16,100070.00,52.00,105.00
2020-03-09 00:21:14.658221,24.17,100073.00,52.00,104.75
2020-03-09 00:22:06.039905,24.16,100063.00,52.00,105.59
2020-03-09 00:22:11.064827,24.16,100063.00,52.00,105.59
2020-03-09 00:22:16.105564,24.17,100062.00,52.00,105.67
2020-03-09 00:22:21.130521,24.17,100066.00,52.00,105.33
2020-03-09 00:22:26.171224,24.17,100067.00,52.00,105.25
2020-03-09 00:22:31.196440,24.18,100071.00,52.00,104.91
2020-03-09 00:22:36.221299,24.17,100067.00,52.00,105.25
2020-03-09 00:22:41.261859,24.17,100069.00,52.00,105.08
2020-03-09 00:22:46.302682,24.18,100069.00,52.00,105.08
2020-03-09 00:22:51.327493,24.17,100067.00,52.00,105.25
2020-03-09 00:22:56.368154,24.17,100067.00,52.00,105.25
2020-03-09 00:23:01.392984,24.17,100066.00,52.00,105.33
2020-03-09 00:23:06.433783,24.17,100070.00,52.00,105.00
2020-03-09 00:23:11.458755,24.16,100065.00,52.00,105.42
2020-03-09 00:23:16.499405,24.16,100066.00,52.00,105.33
2020-03-09 00:23:21.524362,24.16,100063.00,52.00,105.59
2020-03-09 00:23:26.564941,24.16,100065.00,52.00,105.42
2020-03-09 00:23:31.589961,24.15,100064.00,52.00,105.50
2020-03-09 00:23:36.630788,24.15,100074.00,52.00,104.66
2020-03-09 00:23:41.655743,24.15,100071.00,52.00,104.91
2020-03-09 00:23:46.696429,24.14,100070.00,52.00,105.00
2020-03-09 00:23:51.721337,24.14,100065.00,52.00,105.42
2020-03-09 00:23:56.762193,24.14,100072.00,52.00,104.83
2020-03-09 00:24:01.787057,24.12,100067.00,52.00,105.25
2020-03-09 00:24:06.827836,24.13,100064.00,52.00,105.50
2020-03-09 00:24:11.852918,24.12,100068.00,52.00,105.17
2020-03-09 00:24:16.893593,24.12,100060.00,52.00,105.84
2020-03-09 00:24:21.918528,24.13,100061.00,52.00,105.75
2020-03-09 00:24:26.943695,24.13,100067.00,52.00,105.25
2020-03-09 00:24:31.984222,24.13,100066.00,52.00,105.33
2020-03-09 00:24:37.026201,24.13,100066.00,52.00,105.33
2020-03-09 00:24:42.049977,24.13,100068.00,52.00,105.17
2020-03-09 00:24:47.090771,24.14,100068.00,52.00,105.17
2020-03-09 00:24:52.115723,24.13,100065.00,52.00,105.42
2020-03-09 00:24:57.156488,24.12,100070.00,52.00,105.00
2020-03-09 00:25:02.181405,24.13,100070.00,52.00,105.00
2020-03-09 00:25:07.222078,24.13,100063.00,52.00,105.59
2020-03-09 00:25:12.247034,24.13,100066.00,52.00,105.33
2020-03-09 00:25:17.292979,24.13,100068.00,52.00,105.17
2020-03-09 00:25:22.312790,24.13,100062.00,52.00,105.67
2020-03-09 00:25:27.353430,24.14,100060.00,52.00,105.84
